Distance_m,RX_Earth,RX_Mars_Clear,RX_Mars_Dust,RX_Mars_Sat_Clear,RX_Mars_Sat_Dust,RX_Prop_Clear,RX_Prop_Dust
59.94842503189409,-68.39550002291183,-77.28438891180073,-85.29338117555551,-120.80459195739104,-124.80459195739104,-112.76395538092851,-113.26395538092851
65.03262930552246,-69.4561060835179,-78.52176264917446,-86.53151754357029,-120.80459198805366,-124.80459198805366,-112.76395541159113,-113.26395541159113
70.54802310718642,-70.51671214412396,-79.75913638654819,-87.76971859001426,-120.80459202413775,-124.80459202413775,-112.76395544767522,-113.26395544767522
76.53117546501335,-71.57731820473002,-80.99651012392194,-89.00798980024169,-120.80459206660197,-124.80459206660197,-112.76395549013944,-113.26395549013944
83.02175681319744,-72.63792426533608,-82.23388386129567,-90.24633712481764,-120.80459211657436,-124.80459211657436,-112.76395554011182,-113.26395554011182
90.06280202112787,-73.69853032594214,-83.47125759866941,-91.48476701897258,-120.80459217538248,-124.80459217538248,-112.76395559891995,-113.26395559891995
97.70099572992251,-74.7591363865482,-84.70863133604315,-92.72328648540264,-120.80459224458858,-124.80459224458858,-112.76395566812604,-113.26395566812604
105.98698188825016,-75.81974244715425,-85.94600507341688,-93.96190312070013,-120.8045923260311,-124.8045923260311,-112.76395574956857,-113.26395574956857
114.97569953977356,-76.88034850776032,-87.18337881079063,-95.20062516572159,-120.80459242187368,-124.80459242187368,-112.76395584541115,-113.26395584541115
124.72674708860454,-77.9409545683664,-88.42075254816436,-96.43946156022766,-120.80459253466233,-124.80459253466233,-112.7639559581998,-113.2639559581998
135.30477745798075,-79.00156062897246,-89.6581262855381,-97.6784220021568,-120.8045926673934,-124.8045926673934,-112.76395609093086,-113.26395609093086
146.7799267622069,-80.0621666895785,-90.89550002291183,-98.91751701192617,-120.80459282359288,-124.80459282359288,-112.76395624713035,-113.26395624713035
159.22827933410923,-81.12277275018457,-92.13287376028558,-100.1567580021857,-120.80459300741029,-124.80459300741029,-112.76395643094776,-113.26395643094776
172.7323721912987,-82.18337881079061,-93.3702474976593,-101.39615735348801,-120.8045932237288,-124.8045932237288,-112.76395664726627,-113.26395664726627
187.3817422860383,-83.24398487139668,-94.60762123503304,-102.63572849637595,-120.804593478295,-124.804593478295,-112.76395690183247,-113.26395690183247
203.27352016717117,-84.30459093200274,-95.84499497240678,-103.87548600043186,-120.80459377787153,-124.80459377787153,-112.763957201409,-113.263957201409
220.51307399030455,-85.3651969926088,-97.08236870978052,-105.11544567087907,-120.80459413041675,-124.80459413041675,-112.76395755395421,-113.26395755395421
239.21470814626386,-86.42580305321488,-98.31974244715427,-106.35562465337621,-120.80459454529611,-124.80459454529611,-112.76395796883358,-113.26395796883358
259.5024211399737,-87.48640911382094,-99.55711618452801,-107.596041547699,-120.80459503353109,-124.80459503353109,-112.76395845706855,-113.26395845706855
281.51072774477296,-88.54701517442699,-100.79448992190173,-108.83671653106344,-120.80459560809174,-124.80459560809174,-112.76395903162921,-113.26395903162921
305.3855508833416,-89.60762123503305,-102.03186365927547,-110.07767149190798,-120.80459628424151,-124.80459628424151,-112.76395970777898,-113.26395970777898
331.2851891487234,-90.6682272956391,-103.2692373966492,-111.3189301750215,-120.80459707994251,-124.80459707994251,-112.76396050347998,-113.26396050347998
359.38136638046257,-91.72883335624516,-104.50661113402295,-112.56051833898002,-120.80459801633276,-124.80459801633276,-112.76396143987023,-113.26396143987023
389.8603702549072,-92.78943941685122,-105.74398487139668,-113.80246392693492,-120.80459911828777,-124.80459911828777,-112.76396254182524,-113.26396254182524
422.9242874389499,-93.85004547745729,-106.98135860877042,-115.04479725188627,-120.80460041508121,-124.80460041508121,-112.76396383861868,-113.26396383861868
458.79234349670895,-94.91065153806336,-108.21873234614417,-116.28755119766868,-120.80460194116273,-124.80460194116273,-112.7639653647002,-113.2639653647002
497.70235643321087,-95.97125759866941,-109.4561060835179,-117.53076143698287,-120.80460373707302,-124.80460373707302,-112.76396716061049,-113.26396716061049
539.9123135125902,-97.03186365927547,-110.69347982089164,-118.77446666791853,-120.80460585052077,-124.80460585052077,-112.76396927405824,-113.26396927405824
585.7020818056661,-98.09246971988152,-111.93085355826537,-120.01870887053622,-120.80460833765002,-124.80460833765002,-112.76397176118749,-113.26397176118749
635.375263808448,-99.15307578048758,-113.1682272956391,-121.26353358521035,-120.80461126453162,-124.80461126453162,-112.76397468806908,-113.26397468806908
689.2612104349695,-100.21368184109365,-114.40560103301286,-122.50899021457809,-120.80461470891836,-124.80461470891836,-112.76397813245583,-113.26397813245583
747.7172047313223,-101.27428790169972,-115.64297477038659,-123.75513235109628,-120.80461876231033,-124.80461876231033,-112.7639821858478,-113.2639821858478
811.1308307896873,-102.33489396230578,-116.88034850776035,-125.0020181323788,-120.80462353238562,-124.80462353238562,-112.76398695592309,-113.26398695592309
879.9225435691075,-103.39550002291185,-118.11772224513408,-126.24971062666944,-120.8046291458605,-124.8046291458605,-112.76399256939797,-113.26399256939797
954.5484566618337,-104.4561060835179,-119.3550959825078,-127.4982782510071,-120.80463575185556,-124.80463575185556,-112.76399917539302,-113.26399917539302
1035.5033664891307,-105.51671214412396,-120.59246971988154,-128.7477952248549,-120.80464352585662,-124.80464352585662,-112.76400694939409,-113.26400694939409
1123.3240329780276,-106.57731820473002,-121.8298434572553,-129.998342062202,-120.80465267437617,-124.80465267437617,-112.76401609791364,-113.26401609791364
